time,eco2,TVOC,pm10_env,pm10_standard,PM2.5,pm25_standard,pm100_env,pm100_standard,tem,CO2,hum,tem_in
2021-06-02 18:20,31666.5,10312.5,9.5,9.5,11.5,11.5,11.5,11.5,29.5,2860.5,61.9,85.1
2021-06-02 18:21,34353,10797,10.5,10.5,15.5,15.5,15.5,15.5,29.5,2876,63.2,85.1
2021-06-02 18:22,34063.5,10681.5,24.5,28.5,39,45.5,49,51.5,29.6,2888.5,64.4,85.28
2021-06-02 18:23,34933.5,10796.5,25,29,40,47,49,51,29.65,2901.5,65,85.37
2021-06-02 18:24,34542.5,10739.5,23,26,39,45.5,48.5,50.5,29.7,2912.5,66.1,85.46
2021-06-02 18:25,34164,10731.5,24,28,39,46.5,46,47.5,29.7,2914.5,67.05,85.46
2021-06-02 18:26,35060,10773.5,22.5,25,38.5,45.5,47.5,49,29.7,2917,66.5,85.46
2021-06-02 18:27,48381.5,12576,23,25.5,36,40,43,43,29.75,2926,78.25,85.55
2021-06-02 18:28,41089.5,11642.5,35.5,50,51.5,72.5,61,75.5,29.8,2940.5,84.05,85.64
2021-06-02 18:29,39008.5,11381,24.5,28,39.5,46.5,46,47,29.8,2948,78.25,85.64
2021-06-02 18:30,38314.5,11288.5,22.5,25,38.5,44.5,46,47.5,29.85,2955.5,76.8,85.73
2021-06-02 18:31,37835,11273,23,26.5,36,41,42,42.5,29.9,2957,76.55,85.82
2021-06-02 18:32,37582.5,11192.5,22.5,24.5,37,41.5,46,46.5,29.9,2959.5,76.65,85.82
2021-06-02 18:33,37330.5,11123.5,21,23,35,39,44,45,29.9,2965.5,75.8,85.82
2021-06-02 18:34,37406,11189,21.5,23,35.5,39.5,42,43,29.9,2969,77,85.82
2021-06-02 18:35,37456.5,11150,21.5,23,35.5,39,46.5,47.5,29.9,2976.5,76.55,85.82
2021-06-02 18:36,37204,11135,21.5,23.5,35,38.5,41,41,29.9,2983.5,76.55,85.82
2021-06-02 18:37,36359,5521.5,0,12,35,20.5,42.5,42.5,29.9,2986.5,76.9,85.82
2021-06-02 18:38,36724.5,11050.5,21.5,0,34.5,38.5,40,40,29.9,2993,77.15,85.82
2021-06-02 18:39,36737.5,11008,22,23.5,33.5,36,39,39,30,2996,77.1,86
2021-06-02 18:40,36712.5,11027.5,21.5,23,31.5,33,36,36,30,3008.5,77,86
2021-06-02 18:41,36636.5,11008.5,22,23.5,35,38.5,39,39,30,3021.5,76.75,86
2021-06-02 18:42,36661.5,11024,20.5,21.5,34,37.5,41.5,42,30,3031,76.8,86
2021-06-02 18:43,35892.5,10889.5,22.5,24.5,34.5,38.5,41.5,41.5,30,3042.5,76.75,86
2021-06-02 18:44,36195,10966,22,23.5,35,39,42,43,30,3050.5,76.65,86
2021-06-02 18:45,35816.5,10931.5,20.5,22.5,32.5,35.5,37,37,30,3059.5,76.65,86
2021-06-02 18:46,35400,10820,21.5,23,33.5,37,42,42,30.05,3069.5,77,86.09
2021-06-02 18:47,35135.5,10793,21,22.5,33.5,36.5,38,38,30.1,3078,76.8,86.18
2021-06-02 18:48,34971,10823.5,21,22.5,34.5,38.5,41.5,41.5,30.05,3086.5,76.3,86.09
2021-06-02 18:49,35110,10793,21,22,33,36,40,40,30.1,3095,76.2,86.18
2021-06-02 18:50,34681.5,5367.5,20,10.5,32,33.5,37,37,30.1,3099,76.7,86.18
2021-06-02 18:51,34908.5,10766,22,0,35.5,39.5,42,42,30.1,3105,76.8,86.18
2021-06-02 18:52,35173.5,10804.5,19.5,20,32.5,35,35.5,35.5,30.1,3116.5,76.65,86.18
2021-06-02 18:53,35350,10700.5,20.5,22,31.5,33.5,36,36,30.1,3125,76.55,86.18
2021-06-02 18:54,35236,10704.5,21,22,30.5,32,34,34,30.1,3135.5,76.4,86.18
2021-06-02 18:55,34694,10677.5,20.5,21,32,33,37,37,30.1,3144.5,76.15,86.18
2021-06-02 18:56,34466.5,10670,20,21,31.5,33,34.5,34.5,30.1,3144.5,76.25,86.18
2021-06-02 18:57,34126.5,10628,20.5,21.5,32,34,36,36,30.1,3140,76.3,86.18
2021-06-02 18:58,34076,10608.5,19.5,20,32,34,36,36,30.1,3143,76.15,86.18
2021-06-02 18:59,33773,10631.5,19,19.5,30,31,32,32,30.1,3144,76,86.18
2021-06-02 19:00,33735.5,10543.5,21,22,31,32.5,34,34,30.1,3147.5,75.9,86.18
